above | Yi: n. [ꄩ tot]
accept | Yi: v. [ꄽ ddat], [ꊪ zy]
accessories | Yi: n. [ꁥ ꌺ bbot sse]
accompany | Yi: v. [ꌞ sut], [ꎭ sha]
according to | Yi: gr. [ꍬ chop]
accumulate | Yi: v. [ꊭ zyr]
accuse | Yi: v. [ꀑ ꅥ o ndup], [ꌎ sie]
ache | Yi: v. [ꈢ ggot]
achieve | Yi: n. [ꊌ ꐨ wep jjux]
acid | Yi: adj. [ꏢ ji]
across from | Yi: n. [ꅶ hnot]
add | Yi: v. [ꁥ bbot], [ꇱ gep], [ꇯ gex]
address | Yi: v. [ꄹ ddip]
adjust | Yi: v. [ꎖ nra]
admire | Yi: v. [ꁯ bbup]
admit error | Yi: v. [ꈌ ꊰ ke ci]
adopt | Yi: v. [ꀮ bu]
adult | Yi: n. [ꌟ ꒉ sux yy]
advantage | Yi: adj. [ꈲ mgat]
adverb | Yi: n. [ꁥ ꅇ bbot ddop]
advise | Yi: v. [ꉳ ha], [ꇬ go]
afraid | Yi: v. [ꃪ vat], [ꏦ jie]
after | Yi: adv. [ꊁ wax], [ꊂ wa], [ꇈ lox]
afternoon | Yi: n. [ꁯ ꋒ bbup zzi]
afterward | Yi: adv. [ꃆ ꏂ ꊀ mup shy wat]
again | Yi: adv. [ꌦ sy], [ꉈ ꑴ hxi yip]
age | Yi: n. [ꈎ ꄜ kut ti], [ꈓ kur]
agree | Yi: v. [ꃛ ꏤ fup jiet], [ꇖ ꀋ ꅔ ly ap ndip]
agriculture | Yi: n. [ꂿ ꑘ mo nyop]
AIDS | Yi: n. [ꉟ ꊪ ꆅ ngiep zy na]
aim | Yi: v. [ꌐ sat], [ꋘ zzat]
air | Yi: n. [ꃅ ꌗ mu sot]
airman | Yi: n. [ꃅ ꈯ ꂽ mu ggur mot]
airplane | Yi: n. [ꏠ ꐕ jit qyp]
alcohol | Yi: n. [ꎧ nry]
alert | Yi: v. [ꊡ zep]
alive | Yi: v. [ꐥ jjo]
all | Yi: adv. [ꇤ ga], [ꃅ mu], [ꑌ nyi], [ꈁ ꇔ ꇗ ka lyt lyp]
allow | Yi: v. [ꈌ ꁧ ke bbo], [ꄻ ddie], [ꎽ shup]
almost | Yi: adv. [ꀋ ꇊ ap lop], [ꄉ ꏽ da qix]
alone | Yi: adv. [ꀉ ꄂ ax di], [ꏦ ꀕ jie w]
also | Yi: adv. [ꑌ nyi], [ꉈ ꑴ hxi yip]
alter | Yi: v. [ꄺ ꀱ ddiex bur]
although | Yi: conj. [ꑴ ꇬ yip go]
aluminum | Yi: n. [ꃪ ꐎ vat qu]
always | Yi: adv. [ꅉ ꀕ dde w], [ꇐ lu], [ꅉ ꈫ dde ggux]
amazing | Yi: adj. [ꅗ ndat]
amber | Yi: n. [ꉴ ꀾ hap piep]
America | Yi: prop n. [ꂰ ꇩ Mi guop]
among | Yi: n. [ꈬ ggu], [ꇢ ꆣ gat hluo]
ancestor | Yi: n. [ꁍ ꁈ pup po], [ꀊ ꃯ a vox]
and | Yi: conj. [ꌋ ꆀ si nip]
angry | Yi: adj. [ꃃ ꋤ mut zzup]
animal | Yi: n. [ꇙ ꀕ lyr w]
ankle | Yi: n. [ꐱ njit]
announce | Yi: v. [ꑸ ꇔ yiep lyt]
annoy | Yi: v. [ꌾ ssu], [ꏒ re]
another | Yi: adv. [ꀉ ꁁ ax pa]
answer | Yi: v. [ꅇ ꀱ ddop bur]
ant | Yi: n. [ꁬ ꃷ bbut vup]
antiphonal | Yi: v. [ꊝ zo]
anxious | Yi: adj. [ꋣ zzu], [ꐒ qyt]
apartment | Yi: n. [ꁨ ꌺ bbop sse]
apparently | Yi: cer. [ꏭ ꁮ jox bbu], [ꌟ ꃅ sux mu]
appear | Yi: v. [ꁮ bbu], [ꀽ pie]
appearance | Yi: n. [ꃘ ꅺ fut hne], [ꐛ ꄟ jjip tie]
appetite | Yi: n. [ꂖ ꌦ hmie sy]
apple | Yi: n. [ꌧ ꅪ syp hni]
apply | Yi: v. [ꉖ hxot]
appraise | Yi: v. [ꇗ lyp]
appreciate | Yi: v. [ꁌ ꒉ pu yy]
approach | Yi: v. [ꃗ fop], [ꆹ ꃙ li fux], [ꃛ fup]
appropriate | Yi: adj. [ꄐ dop], [ꋭ nzit], [ꌜ sox], [ꋽ ꇵ nze gup]
approve | Yi: v. [ꈌ ꁧ ke bbo], [ꇲ ꇱ gut gep]
approximately | Yi: adv. [ꀋ ꇈ ap lox], [ꄉ ꉻ da ho]
apricot | Yi: n. [ꉸ ꇔ huop lyt]
