ꀀ | Chinese: 1. pron. 我的（引述式） | 2. v. (1) 有；存在（多指房屋或容器中有某物） (2) 居住 (3) 睡觉
ꀀ ꀕ | Chinese: 1. pron. 我自己（引述式）
ꀀ ꀨ | Chinese: 1. n. 被子；被盖
ꀀ ꁈ | Chinese: 1. n. (1) 公公；岳父 (2) 姑父
ꀀ ꁍ | Chinese: 1. n. (1) 打鼾（睡着时吹气的声音） (2) 居住地
ꀀ ꁏ | Chinese: 1. v. （睡觉时）翻身
ꀀ ꂇ | Chinese: 1. v. 打鼾
ꀀ ꂼ | Chinese: 1. n. 梦
ꀀ ꃀ | Chinese: 1. n. 岳母
ꀀ ꃆ | Chinese: 1. n. 玉米
ꀀ ꄓ | Chinese: 1. v. 起床
ꀀ ꅉ | Chinese: 1. n. 住处；睡处
ꀀ ꅪ | Chinese: 1. n. 肋部
ꀀ ꆍ | Chinese: 1. v. 梦魇
ꀀ ꇖ | Chinese: 1. v. （睡时）呻吟
ꀀ ꈉ | Chinese: 1. n. 居处环镜
ꀀ ꈤ | Chinese: 1. n. 床
ꀀ ꈥ | Chinese: 1. n. 水
ꀀ ꍹ | Chinese: 1. n. 木勺
ꀀ ꎙ | Chinese: 1. n. 夜宵
ꀀ ꎭ | Chinese: 1. adj. 睡得不舒服（指条件差）
ꀀ ꏈ | Chinese: 1. v. 梦呓
ꀀ ꐚ | Chinese: 1. adj. （睡）醒
ꀀ ꐜ | Chinese: 1. adj. 困；睡眠不足
ꀀ ꐡ | Chinese: 1. n. 玉米粒（嫩玉米粒磨开煮熟后晒干）
ꀀ ꑄ | Chinese: 1. v. （小孩）闹瞌睡
ꀀ ꑌ ꇴ | Chinese: 1. v. (1) 睡觉 (2) 打瞌睡
ꀁ ꀧ | Chinese: 1. n. 膀胱
ꀁ ꁧ | Chinese: 1. adj. (1) 单薄 (2) 稀疏
ꀁ ꂥ | Chinese: 1. adj. (1) 矮；低 (2) （水）浅
ꀁ ꃏ | Chinese: 1. adj. 窄（指条形）
ꀁ ꃚ | Chinese: 1. adj. 细（指圆柱形、条形）
ꀁ ꃶ | Chinese: 1. adj. 狭窄
ꀁ ꄖ | Chinese: 1. adj. 薄
ꀁ ꄸ | Chinese: 1. adj. 浅（指犁地）
ꀁ ꆓ | Chinese: 1. adj. 柔软；嫩
ꀁ ꇬ | Chinese: 1. n. (1) 房子 (2) 屋里 (3) 家
ꀁ ꉘ ꌺ | Chinese: 1. adv. 一瞬间
ꀁ ꉻ | Chinese: 1. adj. 细
ꀁ ꊰ | Chinese: 1. adj. 细（指线等）
ꀁ ꋌ | Chinese: 1. adv. 下；向下；往下
ꀁ ꎴ | Chinese: 1. adj. 短
ꀁ ꐯ | Chinese: 1. adj. 窄
ꀁ ꑌ | Chinese: 1. adv. 少（数）
ꀁ ꑌ ꊿ ꋅ | Chinese: 1. n. 少数民族
ꀁ ꑌ ꌺ ꇖ | Chinese: 1. n. 兄弟民族
ꀁ ꑳ | Chinese: 1. n. (1) 弟弟（男称） (2) 小叔子（嫂称）
ꀂ | Chinese: 1. pron. 我（引述格）
ꀂ ꄁ | Chinese: 1. n. 上衣
ꀂ ꉗ | Chinese: 1. adv. 一会儿
ꀂ ꏽ | Chinese: 1. n. (1) 上面 (2) 方面
ꀂ ꏾ | Chinese: 1. n. 头
ꀂ ꏾ ꇱ ꏣ | Chinese: 1. n. 头绳
ꀂ ꏾ ꐑ ꃅ | Chinese: 1. n. 剃头刀
ꀃ ꂰ | Chinese: 1. n. 今晚
ꀃ ꃀ | Chinese: 1. n. 肚子
ꀃ ꃀ ꃚ | Chinese: 1. v. 拉肚子
ꀃ ꅉ | Chinese: 1. pron. (1) 本身 (2) 本人
ꀃ ꈈ | Chinese: 1. n. 门
ꀃ ꈥ | Chinese: 1. n. 大木勺
ꀃ ꈭ | Chinese: 1. n. 大木勺
ꀃ ꌋ | Chinese: 1. adv. 刚才
ꀃ ꌋ ꀊ ꆨ | Chinese: 1. n. 古代；很久以前
ꀃ ꐒ | Chinese: 1. n. 水
ꀃ ꑊ | Chinese: 1. pron. 我俩（引述式）
ꀃ ꑊ ꀃ ꑊ | Chinese: 1. pron. 我俩自己（引述式）
ꀃ ꑍ | Chinese: 1. n. 今天
ꀃ ꒉ | Chinese: 1. n. 清口水；梦口水 | 2. v. 垂涎
ꀄ ꂳ | Chinese: 1. adj. 饿
ꀄ ꃹ ꐫ ꇓ | Chinese: 1. n. 胳肢窝
ꀄ ꆉ | Chinese: 1. n. 荸荠
ꀄ ꇷ ꅍ | Chinese: 1. n. 刮刨器
ꀄ ꈯ | Chinese: 1. v. (1) 惊梦 (2) 梦游
ꀄ ꊭ | Chinese: 1. adj. 小 | 2. v. 生产（孩子）
ꀄ ꊭ ꀄ ꑓ | Chinese: 1. n. 小东西
ꀄ ꎱ | Chinese: 1. v. 斜背着
ꀄ ꏫ | Chinese: 1. n. 柁（横梁）
ꀅ ꌳ | Chinese: 1. adv. 慢
ꀅ ꌳ ꀅ ꌳ | Chinese: 1. adv. 慢慢
ꀆ | Chinese: 1. n. 鸭子 | 2. v. 叫（指马、猪、山羊、狐狸等）
ꀆ ꁵ | Chinese: 1. n. 板鸭
ꀆ ꆽ ꈪ | Chinese: 1. n. 回夫家
ꀆ ꐒ | Chinese: 1. n. 生水
ꀇ ꀆ | Chinese: 1. int. 呀（表感慨）
ꀇ ꌐ | Chinese: 1. adv. 过一会儿
ꀈ ꂫ | Chinese: 1. adv. 末尾；最后 | 2. adj. 最小（多指猪羊）
ꀈ ꃀ | Chinese: 1. adj. (1) 老 (2) 去世（已生育孩子的人） | 2. n. 粉
ꀈ ꃛ | Chinese: 1. adj. 干（多指粉之类水分不足）
ꀈ ꄼ | Chinese: 1. adj. 淡而无味
ꀈ ꆧ | Chinese: 1. adj. 绿色
ꀈ ꈥ | Chinese: 1. adj. (1) 空的 (2) 平白的
ꀈ ꉙ ꑗ ꒉ | Chinese: 1. n. 安宁河
ꀈ ꋓ | Chinese: 1. adj. 花色；杂色（指动物的毛色）
ꀈ ꎽ | Chinese: 1. adj. 浅蓝色
ꀉ ꀜ | Chinese: 1. n. 渣滓；废品
ꀉ ꁁ | Chinese: 1. adv. 别的；另外；其他 | 2. num. 半
ꀉ ꁌ | Chinese: 1. n. 祖父；外祖父；老大爷
ꀉ ꁌ ꀊ ꃯ | Chinese: 1. n. 祖宗；祖先
ꀉ ꁌ ꀕ | Chinese: 1. adj. 白白地；无代价
ꀉ ꁌ ꁮ ꅉ | Chinese: 1. n. 故事；传说
ꀉ ꁘ | Chinese: 1. adj. 破旧；次品；差
ꀉ ꁧ | Chinese: 1. n. (1) 姑姑；姑母 (2) 婆婆（丈夫之母）；岳母（妻子之母）
ꀉ ꁧ ꌺ | Chinese: 1. n. 表兄弟（女称）
ꀉ ꁱ | Chinese: 1. adj. 花色
ꀉ ꂿ | Chinese: 1. n. 妈妈；母亲
ꀉ ꂿ ꅩ ꌺ | Chinese: 1. n. 《妈妈的女儿》“
ꀉ ꃅ | Chinese: 1. adj. 驯服 | 2. n. 红薯
ꀉ ꄂ | Chinese: 1. adv. (1) 只；仅仅 (2) 单独
ꀉ ꄉ | Chinese: 1. n. 爸爸；父亲
ꀉ ꄜ | Chinese: 1. adj. 单（衣服）
ꀉ ꄻ ꀕ | Chinese: 1. adj. 很像；活像
ꀉ ꅠ | Chinese: 1. adj. 贫瘠
ꀉ ꆂ | Chinese: 1. n. (1) 乳房 (2) 奶汁
ꀉ ꆈ | Chinese: 1. adj. (1) 黑色 (2) （罪）严重
ꀉ ꆜ | Chinese: 1. adj. 老二（排行） | 2. n. 叔父；姨父（排行老二）（直接称谓）
ꀉ ꆹ | Chinese: 1. adj. 陈旧；老
ꀉ ꇖ | Chinese: 1. adj. (1) 沉重 (2) 缓慢
ꀉ ꇙ | Chinese: 1. n. 山羊
ꀉ ꇙ ꀕ | Chinese: 1. adj. 一模一样
ꀉ ꇨ | Chinese: 1. adj. 坚硬
ꀉ ꇬ | Chinese: 1. adj. 野性
ꀉ ꇰ | Chinese: 1. adj. 魁梧；庞大
ꀉ ꈠ | Chinese: 1. adj. 凉；冷（指饮食）
ꀉ ꈾ ꉙ | Chinese: 1. n. 哑哑学语
ꀉ ꉌ | Chinese: 1. n. 老鼠
ꀉ ꉘ | Chinese: 1. n. 粥
ꀉ ꉙ | Chinese: 1. conj. （无论）…也好
ꀉ ꉾ | Chinese: 1. adj. (1) 粗（粉末） (2) 稀疏
ꀉ ꊂ | Chinese: 1. n. （收割时掉在地里的）粮食；茬地
ꀉ ꋒ | Chinese: 1. adj. (1) 湿的 (2) 生的
ꀉ ꋲ ꀊ ꑞ | Chinese: 1. adj. 各种各样
ꀉ ꌋ ꀕ | Chinese: 1. n. 谜语
ꀉ ꌙ | Chinese: 1. adj. 灰色
ꀉ ꍫ | Chinese: 1. adj. 深灰色（指马；牛；等）
ꀉ ꎂ | Chinese: 1. adj. 性格直爽
ꀉ ꏵ | Chinese: 1. n. (1) 骨髓 (2) 果仁
ꀉ ꐔ | Chinese: 1. n. 姑娘（文学语）
ꀉ ꐚ | Chinese: 1. n. 乌鸦
ꀉ ꐚ ꁮ ꋚ | Chinese: 1. n. (1) 桑树 (2) 桑葚
ꀉ ꐡ | Chinese: 1. adj. 破烂
ꀉ ꐩ | Chinese: 1. n. 狐狸
ꀉ ꐩ ꎭ ꁮ | Chinese: 1. n. 野棉花
ꀉ ꑌ | Chinese: 1. adj. 多；多数
ꀉ ꑌ ꌠ | Chinese: 1. adv. 多数情况下
ꀉ ꑐ | Chinese: 1. n. 猫
ꀉ ꑐ ꃱ ꋯ | Chinese: 1. n. 红萝卜
ꀉ ꑐ ꅳ ꀧ | Chinese: 1. n. 木耳
ꀉ ꑐ ꈿ ꊪ | Chinese: 1. n. 茄子
ꀉ ꑳ | Chinese: 1. n. 孩子；儿童
ꀉ ꒆ ꅉ | Chinese: 1. adj. 一样（的）
ꀉ ꒉ | Chinese: 1. adj. 大
ꀊ ꀞ ꀡ | Chinese: 1. adj. 光秃秃
ꀊ ꀹ | Chinese: 1. adv. 半（指容量）
ꀊ ꁪ | Chinese: 1. int. 哎呀；哟
ꀊ ꂥ | Chinese: 1. adj. (1) 高（特指物；不能指人） (2) （水）深
ꀊ ꂵ | Chinese: 1. n. (1) 外祖母；外婆；祖母 (2) 老大娘
ꀊ ꂿ | Chinese: 1. int. 喔唷（表轻蔑、表哀悼）
ꀊ ꃂ | Chinese: 1. int. 啊呀（表怜惜）
ꀊ ꃈ ꎭ | Chinese: 1. int. 啊呦（表同情）
ꀊ ꃏ | Chinese: 1. adj. 宽（指条形）
ꀊ ꃚ | Chinese: 1. adj. 粗（指圆柱形；条形）
ꀊ ꃯ | Chinese: 1. n. (1) 曾祖父；高祖父 (2) 祖宗
ꀊ ꃴ | Chinese: 1. adj. 蓝色
ꀊ ꃶ | Chinese: 1. adj. 干的
ꀊ ꃶ ꀊ ꌱ | Chinese: 1. n. 表兄弟（男称）；郎舅
ꀊ ꄖ | Chinese: 1. adj. 厚
ꀊ ꄶ | Chinese: 1. pron. 那里；那边；那儿
ꀊ ꅪ | Chinese: 1. adj. 红色
ꀊ ꅰ | Chinese: 1. adv. 更加；特别；很
ꀊ ꅼ | Chinese: 1. adj. (1) 深 (2) 过分
ꀊ ꆨ | Chinese: 1. adv. 从前
ꀊ ꆨ ꃀ | Chinese: 1. adv. 古代
ꀊ ꈨ | Chinese: 1. adj. 灰色；棕色（指禽类）
ꀊ ꈫ ꈭ | Chinese: 1. adj. 一模一样
ꀊ ꈻ | Chinese: 1. adj. 冷；凉（食物）
ꀊ ꉗ | Chinese: 1. adv. 长久
ꀊ ꉘ | Chinese: 1. n. 少年；儿童（文学语）
ꀊ ꉻ | Chinese: 1. adj. 粗
ꀊ ꊪ ꇜ | Chinese: 1. int. 啊哟（皮肤受到刺激时的叫声）
ꀊ ꊸ | Chinese: 1. adj. 热（指食物）
ꀊ ꊸ ꀕ | Chinese: 1. adj. 热乎乎；趁热 | 2. adv. 立刻
ꀊ ꋌ ꀉ ꃖ | Chinese: 1. adj. (1) 一时疏忽 (2) 时好时坏（病情）
ꀊ ꋨ | Chinese: 1. pron. 那
ꀊ ꋨ ꂷ | Chinese: 1. pron. 那个
ꀊ ꋨ ꈨ | Chinese: 1. pron. 那些
